tm,stn,ta,rn,vs
202201150800,90,-2.3,-9.0,4956
202201150800,93,-10.6,-9.0,2000
202201150800,95,-9.6,-9.0,5009
202201150800,98,-6.9,-9.0,2289
202201150800,99,-8.0,-9.0,943
202201150800,100,-10.4,-9.0,2229
202201150800,101,-10.0,-9.0,1556
202201150800,102,3.8,-9.0,4561
202201150800,104,-1.0,-9.0,2000
202201150800,105,1.0,-9.0,5000
202201150800,106,-0.7,-9.0,1406
202201150800,108,-4.4,-9.0,2000
202201150800,112,-3.5,-9.0,1523
202201150800,114,-8.4,-9.0,1434
202201150800,115,2.0,-9.0,2000
202201150800,119,-4.7,-9.0,1608
202201150800,121,-9.8,-9.0,1396
202201150800,127,-8.7,-9.0,1247
202201150800,129,-5.8,-9.0,2375
202201150800,130,-1.1,-9.0,5000
202201150800,131,-5.9,-9.0,1345
202201150800,133,-6.1,-9.0,1975
202201150800,135,-5.0,-9.0,4539
202201150800,136,-8.2,-9.0,1635
202201150800,137,-4.3,-9.0,3536
202201150800,138,-0.8,-9.0,2000
202201150800,140,-4.2,-9.0,2000
202201150800,143,-4.3,-9.0,2000
202201150800,146,-3.5,-9.0,2000
202201150800,152,-0.7,-9.0,2000
202201150800,155,-2.1,-9.0,2000
202201150800,156,-2.3,-9.0,2000
202201150800,159,2.4,-9.0,5000
202201150800,162,0.0,-9.0,1853
202201150800,165,-1.8,-9.0,2000
202201150800,168,-0.4,-9.0,2000
202201150800,169,3.1,-9.0,5000
202201150800,170,1.0,-9.0,2000
202201150800,172,-5.5,-9.0,2091
202201150800,174,-4.9,-9.0,1742
202201150800,177,-5.8,-9.0,1791
202201150800,184,4.7,-9.0,5000
202201150800,185,4.5,-9.0,2000
202201150800,188,3.8,-9.0,2000
202201150800,189,6.0,-9.0,2000
202201150800,192,-5.5,-9.0,1987
202201150800,201,-4.8,-9.0,3903
202201150800,202,-7.7,-9.0,1599
202201150800,203,-8.3,-9.0,895
202201150800,211,-10.9,-9.0,3684
202201150800,212,-10.8,-9.0,3332
202201150800,216,-8.6,-9.0,2000
202201150800,217,-11.0,-9.0,1850
202201150800,221,-10.2,-9.0,1528
202201150800,226,-8.8,-9.0,1271
202201150800,232,-8.2,-9.0,845
202201150800,235,-3.4,-9.0,2000
202201150800,236,-6.1,-9.0,1258
202201150800,238,-7.6,-9.0,874
202201150800,239,-6.2,-9.0,1991
