grade,hour,share
고속도로,0,0.0124
고속도로,1,0.00911
고속도로,2,0.00776
고속도로,3,0.00803
고속도로,4,0.01205
고속도로,5,0.02535
고속도로,6,0.04025
고속도로,7,0.05134
고속도로,8,0.05521
고속도로,9,0.05758
고속도로,10,0.06131
고속도로,11,0.06102
고속도로,12,0.0595
고속도로,13,0.06082
고속도로,14,0.06321
고속도로,15,0.06495
고속도로,16,0.06644
고속도로,17,0.06443
고속도로,18,0.057
고속도로,19,0.04591
고속도로,20,0.03923
고속도로,21,0.03346
고속도로,22,0.02579
고속도로,23,0.01787
일반도로,0,0.00695
일반도로,1,0.00454
일반도로,2,0.00362
일반도로,3,0.00378
일반도로,4,0.00627
일반도로,5,0.01601
일반도로,6,0.03494
일반도로,7,0.05736
일반도로,8,0.0665
일반도로,9,0.05975
일반도로,10,0.0631
일반도로,11,0.0653
일반도로,12,0.06403
일반도로,13,0.06777
일반도로,14,0.06986
일반도로,15,0.0707
일반도로,16,0.07316
일반도로,17,0.07585
일반도로,18,0.06518
일반도로,19,0.04212
일반도로,20,0.03201
일반도로,21,0.02419
일반도로,22,0.01663
일반도로,23,0.01038
