month,hour,fog_present_prob
1,0,0.2142
1,1,0.2247
1,2,0.2382
1,3,0.2428
1,4,0.2521
1,5,0.2635
1,6,0.2709
1,7,0.2784
1,8,0.2907
1,9,0.2748
1,10,0.2221
1,11,0.167
1,12,0.1323
1,13,0.1201
1,14,0.1137
1,15,0.1131
1,16,0.1157
1,17,0.1236
1,18,0.1391
1,19,0.1545
1,20,0.1679
1,21,0.1798
1,22,0.1981
1,23,0.2094
2,0,0.2485
2,1,0.2699
2,2,0.2786
2,3,0.2832
2,4,0.2917
2,5,0.3033
2,6,0.3161
2,7,0.3244
2,8,0.3273
2,9,0.2919
2,10,0.2217
2,11,0.1655
2,12,0.1296
2,13,0.1115
2,14,0.1038
2,15,0.0952
2,16,0.096
2,17,0.1089
2,18,0.1211
2,19,0.1377
2,20,0.1614
2,21,0.182
2,22,0.2059
2,23,0.2281
3,0,0.2134
3,1,0.2323
3,2,0.2503
3,3,0.264
3,4,0.2781
3,5,0.2962
3,6,0.3145
3,7,0.3268
3,8,0.3038
3,9,0.2375
3,10,0.1787
3,11,0.1386
3,12,0.1118
3,13,0.1018
3,14,0.0922
3,15,0.0875
3,16,0.0901
3,17,0.0961
3,18,0.1019
3,19,0.1179
3,20,0.1405
3,21,0.1613
3,22,0.1763
3,23,0.1966
4,0,0.1882
4,1,0.2086
4,2,0.223
4,3,0.2461
4,4,0.2642
4,5,0.2872
4,6,0.303
4,7,0.2872
4,8,0.2199
4,9,0.157
4,10,0.1206
4,11,0.0981
4,12,0.0881
4,13,0.0844
4,14,0.0827
4,15,0.083
4,16,0.0787
4,17,0.0795
4,18,0.0839
4,19,0.1001
4,20,0.1171
4,21,0.1264
4,22,0.1497
4,23,0.1704
5,0,0.1431
5,1,0.1659
5,2,0.1823
5,3,0.1994
5,4,0.2264
5,5,0.2516
5,6,0.2581
5,7,0.2019
5,8,0.1347
5,9,0.0935
5,10,0.0771
5,11,0.0659
5,12,0.0606
5,13,0.0563
5,14,0.0563
5,15,0.0605
5,16,0.0622
5,17,0.0674
5,18,0.0682
5,19,0.0759
5,20,0.089
5,21,0.0986
5,22,0.1111
5,23,0.1266
6,0,0.1749
6,1,0.2046
6,2,0.2357
6,3,0.258
6,4,0.2877
6,5,0.314
6,6,0.3137
6,7,0.2418
6,8,0.172
6,9,0.1264
6,10,0.1007
6,11,0.0843
6,12,0.0783
6,13,0.0755
6,14,0.0697
6,15,0.0698
6,16,0.0714
6,17,0.0735
6,18,0.0758
6,19,0.083
6,20,0.1024
6,21,0.1189
6,22,0.1336
6,23,0.1624
7,0,0.2638
7,1,0.3034
7,2,0.3433
7,3,0.3725
7,4,0.389
7,5,0.4109
7,6,0.4066
7,7,0.3406
7,8,0.2555
7,9,0.1938
7,10,0.1541
7,11,0.1298
7,12,0.1121
7,13,0.1022
7,14,0.0993
7,15,0.0967
7,16,0.0887
7,17,0.0902
7,18,0.0931
7,19,0.1022
7,20,0.1275
7,21,0.1557
7,22,0.194
7,23,0.2298
8,0,0.1984
8,1,0.2278
8,2,0.2498
8,3,0.2744
8,4,0.2933
8,5,0.3175
8,6,0.333
8,7,0.2726
8,8,0.1777
8,9,0.1133
8,10,0.0787
8,11,0.0631
8,12,0.0567
8,13,0.0521
8,14,0.0508
8,15,0.0523
8,16,0.0528
8,17,0.0528
8,18,0.0602
8,19,0.0692
8,20,0.0935
8,21,0.1123
8,22,0.1445
8,23,0.1736
9,0,0.1715
9,1,0.1941
9,2,0.2135
9,3,0.2303
9,4,0.2505
9,5,0.2678
9,6,0.2789
9,7,0.2639
9,8,0.1829
9,9,0.1159
9,10,0.0851
9,11,0.0712
9,12,0.0608
9,13,0.0564
9,14,0.0574
9,15,0.0561
9,16,0.0631
9,17,0.0668
9,18,0.0728
9,19,0.0874
9,20,0.1028
9,21,0.1129
9,22,0.1342
9,23,0.1527
10,0,0.1985
10,1,0.2222
10,2,0.2413
10,3,0.2592
10,4,0.2818
10,5,0.2954
10,6,0.3085
10,7,0.3215
10,8,0.2704
10,9,0.1807
10,10,0.0977
10,11,0.064
10,12,0.0452
10,13,0.0415
10,14,0.0393
10,15,0.0413
10,16,0.0431
10,17,0.0485
10,18,0.063
10,19,0.0807
10,20,0.0993
10,21,0.1217
10,22,0.1483
10,23,0.1786
11,0,0.2109
11,1,0.2308
11,2,0.2471
11,3,0.259
11,4,0.2704
11,5,0.2791
11,6,0.2885
11,7,0.2986
11,8,0.2883
11,9,0.2033
11,10,0.1268
11,11,0.083
11,12,0.0612
11,13,0.0531
11,14,0.0472
11,15,0.0504
11,16,0.0543
11,17,0.0587
11,18,0.0767
11,19,0.0932
11,20,0.1108
11,21,0.1337
11,22,0.1567
11,23,0.1834
12,0,0.1722
12,1,0.1759
12,2,0.1849
12,3,0.1874
12,4,0.1894
12,5,0.1986
12,6,0.2054
12,7,0.2168
12,8,0.2308
12,9,0.2098
12,10,0.1581
12,11,0.1216
12,12,0.096
12,13,0.0838
12,14,0.0807
12,15,0.0765
12,16,0.08
12,17,0.0851
12,18,0.1033
12,19,0.1179
12,20,0.1361
12,21,0.1476
12,22,0.1623
12,23,0.1715
