month,hour,weather,prob
1,0,clear,0.9256
1,0,rain,0.0577
1,0,snow,0.0167
1,1,clear,0.9256
1,1,rain,0.0577
1,1,snow,0.0167
1,2,clear,0.9284
1,2,rain,0.0548
1,2,snow,0.0168
1,3,clear,0.9284
1,3,rain,0.0548
1,3,snow,0.0168
1,4,clear,0.9284
1,4,rain,0.0548
1,4,snow,0.0168
1,5,clear,0.9348
1,5,rain,0.0522
1,5,snow,0.013
1,6,clear,0.9348
1,6,rain,0.0522
1,6,snow,0.013
1,7,clear,0.9348
1,7,rain,0.0522
1,7,snow,0.013
1,8,clear,0.9375
1,8,rain,0.045
1,8,snow,0.0175
1,9,clear,0.9375
1,9,rain,0.045
1,9,snow,0.0175
1,10,clear,0.9375
1,10,rain,0.045
1,10,snow,0.0175
1,11,clear,0.9372
1,11,rain,0.048
1,11,snow,0.0147
1,12,clear,0.9372
1,12,rain,0.048
1,12,snow,0.0147
1,13,clear,0.9372
1,13,rain,0.048
1,13,snow,0.0147
1,14,clear,0.9382
1,14,rain,0.0463
1,14,snow,0.0155
1,15,clear,0.9382
1,15,rain,0.0463
1,15,snow,0.0155
1,16,clear,0.9382
1,16,rain,0.0463
1,16,snow,0.0155
1,17,clear,0.9341
1,17,rain,0.0474
1,17,snow,0.0185
1,18,clear,0.9341
1,18,rain,0.0474
1,18,snow,0.0185
1,19,clear,0.9341
1,19,rain,0.0474
1,19,snow,0.0185
1,20,clear,0.9281
1,20,rain,0.0539
1,20,snow,0.018
1,21,clear,0.9281
1,21,rain,0.0539
1,21,snow,0.018
1,22,clear,0.9281
1,22,rain,0.0539
1,22,snow,0.018
1,23,clear,0.9281
1,23,rain,0.0539
1,23,snow,0.018
2,0,clear,0.8812
2,0,rain,0.1004
2,0,snow,0.0184
2,1,clear,0.8812
2,1,rain,0.1004
2,1,snow,0.0184
2,2,clear,0.8859
2,2,rain,0.0936
2,2,snow,0.0205
2,3,clear,0.8859
2,3,rain,0.0936
2,3,snow,0.0205
2,4,clear,0.8859
2,4,rain,0.0936
2,4,snow,0.0205
2,5,clear,0.8866
2,5,rain,0.0933
2,5,snow,0.02
2,6,clear,0.8866
2,6,rain,0.0933
2,6,snow,0.02
2,7,clear,0.8866
2,7,rain,0.0933
2,7,snow,0.02
2,8,clear,0.8938
2,8,rain,0.0918
2,8,snow,0.0144
2,9,clear,0.8938
2,9,rain,0.0918
2,9,snow,0.0144
2,10,clear,0.8938
2,10,rain,0.0918
2,10,snow,0.0144
2,11,clear,0.9171
2,11,rain,0.0755
2,11,snow,0.0074
2,12,clear,0.9171
2,12,rain,0.0755
2,12,snow,0.0074
2,13,clear,0.9171
2,13,rain,0.0755
2,13,snow,0.0074
2,14,clear,0.927
2,14,rain,0.0668
2,14,snow,0.0062
2,15,clear,0.927
2,15,rain,0.0668
2,15,snow,0.0062
2,16,clear,0.927
2,16,rain,0.0668
2,16,snow,0.0062
2,17,clear,0.9158
2,17,rain,0.0758
2,17,snow,0.0084
2,18,clear,0.9158
2,18,rain,0.0758
2,18,snow,0.0084
2,19,clear,0.9158
2,19,rain,0.0758
2,19,snow,0.0084
2,20,clear,0.8961
2,20,rain,0.094
2,20,snow,0.0099
2,21,clear,0.8961
2,21,rain,0.094
2,21,snow,0.0099
2,22,clear,0.8961
2,22,rain,0.094
2,22,snow,0.0099
2,23,clear,0.8961
2,23,rain,0.094
2,23,snow,0.0099
3,0,clear,0.9314
3,0,rain,0.0672
3,0,snow,0.0013
3,1,clear,0.9314
3,1,rain,0.0672
3,1,snow,0.0013
3,2,clear,0.9183
3,2,rain,0.0797
3,2,snow,0.002
3,3,clear,0.9183
3,3,rain,0.0797
3,3,snow,0.002
3,4,clear,0.9183
3,4,rain,0.0797
3,4,snow,0.002
3,5,clear,0.9068
3,5,rain,0.0904
3,5,snow,0.0028
3,6,clear,0.9068
