road_type,hour,traffic_share
highway,0,0.0124
highway,1,0.00911
highway,2,0.00776
highway,3,0.00803
highway,4,0.01205
highway,5,0.02535
highway,6,0.04025
highway,7,0.05134
highway,8,0.05521
highway,9,0.05758
highway,10,0.06131
highway,11,0.06102
highway,12,0.0595
highway,13,0.06082
highway,14,0.06321
highway,15,0.06495
highway,16,0.06644
highway,17,0.06443
highway,18,0.057
highway,19,0.04591
highway,20,0.03923
highway,21,0.03346
highway,22,0.02579
highway,23,0.01787
national_road,0,0.00695
national_road,1,0.00454
national_road,2,0.00362
national_road,3,0.00378
national_road,4,0.00627
national_road,5,0.01601
national_road,6,0.03494
national_road,7,0.05736
national_road,8,0.0665
national_road,9,0.05975
national_road,10,0.0631
national_road,11,0.0653
national_road,12,0.06403
national_road,13,0.06777
national_road,14,0.06986
national_road,15,0.0707
national_road,16,0.07316
national_road,17,0.07585
national_road,18,0.06518
national_road,19,0.04212
national_road,20,0.03201
national_road,21,0.02419
national_road,22,0.01663
national_road,23,0.01038
